prix	livraison	etat	retour	memoire	console	manette	cable	nbjeu	edition
79.0	5.5	Occasion	Non	0	Game Boy	NaN	oui	0.0	non
37.99	6.0	Occasion	Non	0	Wii	oui	oui	2.0	non
209.0	6.9	Occasion	Non	0	Saturn	oui	oui	0.0	non
69.0	10.0	Occasion	Oui	0	Xbox	oui	oui	0.0	non
100.0	6.0	Reconditionné par le vendeur	Non	0	Game Boy	NaN	oui	0.0	non
260.0	0.0	Occasion	Non	0	SNES	NaN	oui	0.0	non
90.0	7.0	Occasion	Oui	0	PS2 slim	oui	oui	0.0	non
120.0	5.42	Occasion	Non	0	Game cube	oui	oui	0.0	non
55.0	5.0	Occasion	Oui	60.0	PS3	oui	oui	1.0	non
225.0	11.0	Reconditionné par le vendeur	Oui	0	Dreamcast	NaN	oui	0.0	non
706.06	0.0	Neuf	Oui	0	Xbox Series X	oui	oui	0.0	non
450.0	4.95	Occasion	Non	0	Switch	NaN	oui	1.0	oui
62.0	6.3	Occasion	Non	0	Wii	NaN	oui	0.0	non
399.95	0.0	Occasion	Non	0	Game cube	oui	oui	0.0	non
35.5	4.5	Occasion	Non	0	PS2	oui	oui	0.0	non
45.0	6.0	Occasion	Non	0	Game cube	oui	oui	0.0	non
249.9	0.0	Occasion	Oui	0	NES	oui	oui	0.0	non
500.0	15.0	Neuf	Non	500.0	PS3	NaN	oui	0.0	non
1000.0	0.0	Neuf	Non	0	PS5 blu-ray	oui	oui	0.0	non
45.0	15.0	Occasion	Non	0	Wii	NaN	oui	0.0	non
40.0	3.6	Reconditionné par le vendeur	Non	0	GBA	NaN	oui	0.0	non
159.99	0.0	Reconditionné par le vendeur	Non	0	3DS XL	NaN	oui	0.0	non
170.0	5.0	Occasion	Non	0	SNES	NaN	oui	0.0	non
49.99	5.9	Occasion	Non	0	DSi	oui	oui	0.0	non
750.0	30.0	Occasion	Non	0	PS5 digital	NaN	oui	0.0	non
30.0	5.0	Pour pièces détachées/ne fonctionne pas	Oui	500.0	Xbox One	NaN	oui	0.0	non
64.9	0.0	Occasion	Oui	0	Game cube	oui	oui	0.0	non
28.43	6.0	Occasion	Oui	0	Wii	oui	oui	0.0	non
210.0	18.0	Occasion	Oui	0	NES	oui	oui	0.0	non
120.0	4.5	Occasion	Oui	0	PSP	NaN	oui	0.0	oui
999.0	29.99	Neuf	Oui	0	PS5 digital	NaN	oui	0.0	non
150.0	10.0	Occasion	Non	0	GBA	NaN	oui	0.0	non
50.0	0.0	Occasion	Non	0	Wii	oui	oui	0.0	non
129.9	0.0	Occasion	Oui	0	Xbox	oui	oui	0.0	non
144.9	20.05	Occasion	Non	0	PS2 slim	oui	oui	23.0	non
200.0	14.0	Occasion	Oui	500.0	PS4	oui	oui	2.0	non
252.0	0.0	Occasion	Oui	0	Game Gear	oui	oui	1.0	non
89.99	5.9	Occasion	Non	0	Game Boy	NaN	oui	0.0	non
39.95	4.0	Occasion	Oui	80.0	PS3	oui	oui	0.0	non
120.0	5.0	Occasion	Non	0	Game Boy	NaN	oui	2.0	non
150.0	0.0	Occasion	Non	250.0	Xbox 360	oui	oui	9.0	non
139.99	0.0	Occasion	Non	0	Wii U	NaN	oui	0.0	oui
590.0	20.0	Neuf	Non	0	Xbox Series X	NaN	oui	0.0	non
130.0	6.5	Reconditionné par le vendeur	Non	0	Game Boy	NaN	oui	0.0	non
55.0	0.0	Occasion	Oui	0	PS2 slim	oui	oui	0.0	non
349.0	14.1	Occasion	Oui	0	N64	oui	oui	0.0	non
94.17	0.0	Reconditionné par le vendeur	Oui	0	Wii	NaN	oui	0.0	non
49.0	7.95	Occasion	Oui	0	PS2	NaN	oui	0.0	non
3700.0	0.0	Neuf	Non	0	SNES	NaN	oui	0.0	non
100.0	0.0	Occasion	Non	500.0	Xbox One	NaN	oui	0.0	non
19.9	4.9	Pour pièces détachées/ne fonctionne pas	Oui	250.0	PS3 slim	NaN	oui	0.0	non
105.86	0.0	Occasion	Oui	0	Game Boy	NaN	oui	0.0	non
129.99	14.99	Occasion	Non	0	SNES	oui	oui	3.0	non
155.0	20.0	Occasion	Non	NaN	Xbox 360	oui	oui	13.0	non
180.0	8.0	Occasion	Non	0	3DS XL	NaN	oui	8.0	non
59.0	6.9	Occasion	Non	0	2DS	NaN	oui	0.0	non
45.0	8.0	Occasion	Non	0	Wii	NaN	oui	0.0	non
46.5	20.0	Occasion	Non	0	PS2 slim	oui	oui	0.0	non
65.0	7.5	Occasion	Non	0	Xbox	oui	oui	0.0	non
90.0	8.0	Occasion	Non	0	Nintendo Mini	oui	oui	0.0	non
239.99	0.0	Occasion	Non	0	Mega Drive	oui	oui	0.0	non
630.0	30.0	Neuf	Non	0	PS5 digital	NaN	oui	0.0	non
320.0	0.0	Occasion	Non	320.0	Xbox 360	NaN	oui	9.0	oui
87.0	10.0	Occasion	Non	0	PS Vita	NaN	oui	0.0	non
500.0	15.0	Occasion	Oui	0	SNES	oui	oui	0.0	non
27.99	0.0	Occasion	Non	0	DSi	NaN	oui	0.0	non
349.99	5.0	Occasion	Oui	0	SNES	oui	oui	0.0	non
60.0	0.0	Occasion	Oui	0	PS2	oui	oui	0.0	non
1100.0	15.0	Neuf	Oui	0	Xbox Series X	oui	oui	0.0	oui
14.9	3.8	Pour pièces détachées/ne fonctionne pas	Non	0	2DS	NaN	oui	0.0	non
150.0	25.0	Occasion	Non	500.0	PS3	oui	oui	0.0	non
109.0	25.0	Occasion	Non	60.0	PS3	NaN	oui	0.0	non
779.0	15.99	Occasion	Non	0	PS5 blu-ray	NaN	oui	0.0	non
39.9	10.0	Occasion	Non	0	Wii	NaN	oui	0.0	non
349.99	5.0	Occasion	Oui	0	SNES	oui	oui	0.0	non
140.0	0.0	Occasion	Oui	0	Game Boy	NaN	oui	5.0	non
154.9	0.0	Occasion	Oui	0	SNES	oui	oui	0.0	non
139.9	7.0	Neuf	Oui	0	2DS	NaN	oui	0.0	non
82.9	0.0	Occasion	Oui	0	Mega Drive	oui	oui	0.0	non
125.0	17.0	Occasion	Oui	0	PS2 slim	oui	oui	0.0	non
124.9	0.0	Occasion	Oui	0	Mega Drive	oui	oui	0.0	non
849.0	21.9	Neuf	Oui	0	PS5 blu-ray	NaN	oui	0.0	non
188.16	0.0	Occasion	Oui	0	PS Vita	NaN	oui	0.0	oui
650.0	21.9	Neuf	Oui	0	Xbox Series X	NaN	oui	0.0	non
99.99	8.0	Neuf	Non	0	PS1	NaN	oui	20.0	non
62.0	9.0	Reconditionné par le vendeur	Oui	0	2DS	NaN	oui	1.0	non
349.0	0.0	Occasion	Oui	0	Xbox	oui	oui	0.0	non
159.99	4.75	Neuf	Non	0	2DS	NaN	oui	0.0	non
769.99	39.99	Neuf	Non	0	PS5 blu-ray	oui	oui	0.0	non
120.0	0.0	Occasion	Oui	0	GBA	oui	oui	1.0	non
69.99	4.1	Occasion	Non	0	GBA	NaN	oui	1.0	non
347.65	44.36	Occasion	Oui	0	NES	NaN	oui	0.0	non
70.0	6.5	Occasion	Oui	0	Game Boy	NaN	oui	0.0	non
119.99	9.0	Occasion	Oui	0	Wii U	NaN	oui	0.0	oui
49.9	3.95	Reconditionné par le vendeur	Oui	0	Game cube	NaN	oui	0.0	non
725.0	25.0	Neuf	Non	0	PS5 digital	NaN	oui	0.0	non
150.0	9.0	Occasion	Oui	0	3DS XL	NaN	oui	0.0	oui
79.9	7.95	Occasion	Oui	0	Game Boy Color	NaN	oui	0.0	non
474.44	44.34	Occasion	Oui	0	Neo-Geo AES	NaN	oui	0.0	non
599.0	20.0	Occasion	Non	0	Game cube	NaN	oui	0.0	non
259.9	0.0	Occasion	Oui	0	N64	oui	oui	0.0	non
69.0	0.0	Occasion	Oui	0	Wii U	NaN	non	0.0	non
130.0	12.9	Occasion	Non	0	Game cube	oui	oui	0.0	non
139.9	0.0	Occasion	Oui	0	PSP	NaN	oui	0.0	non
517.88	43.98	Occasion	Oui	0	Neo-Geo AES	NaN	oui	0.0	non
208.59	22.1	Occasion	Oui	0	GBA	NaN	oui	0.0	non
499.0	7.0	Neuf	Oui	0	PS2	NaN	oui	0.0	non
104.0	15.0	Occasion	Oui	0	PS1	NaN	oui	0.0	non
3895.0	0.0	Neuf	Non	0	N64	NaN	oui	0.0	non
173.82	22.18	Occasion	Oui	0	Game Boy	NaN	oui	0.0	non
1037.41	44.07	Occasion	Oui	0	Game cube	NaN	oui	0.0	non
149.9	0.0	Occasion	Oui	0	N64	oui	oui	0.0	non
72.56	21.23	Occasion	Oui	0	Dreamcast	NaN	oui	0.0	non
139.9	6.9	Occasion	Oui	0	PS2 slim	oui	oui	0.0	non
80.0	9.0	Occasion	Non	0	Xbox	oui	oui	0.0	non
395.0	6.0	Occasion	Non	0	Switch	oui	oui	4.0	non
